year,month,passengers_in,passengers_out,passengers_total,freight_in,freight_out,freight_total,mail_in,mail_out,mail_total,aircraft_in,aircraft_out,aircraft_total,flights_in,flights_out,flights_total,passengers_incl_transit_in,passengers_incl_transit_out,passengers_incl_transit_total,available_seats_in,available_seats_out,available_seats_total,seat_utilisation_in,seat_utilisation_out,seat_utilisation_total
2019,Jul,1985113,1750509,3735622,46737990,40819446,87557436,2121735,993317,3115052,9163,9173,18336,8935,8945,17880,2021069,1786597,3807666,2308517,2308959,4617476,87.54836979758001,77.37673124555265,82.4620636902065
2019,Aug,1766857,1801853,3568710,47958148,43682225,91640373,2256681,1062611,3319292,8813,8824,17637,8595,8606,17201,1800958,1836673,3637631,2215487,2221239,4436726,81.28948623936859,82.68686980554546,81.989083842455
2019,Sep,1721451,1775323,3496774,45557859,44769887,90327746,2186385,994576,3180961,8592,8602,17194,8376,8386,16762,1760402,1814529,3574931,2151589,2156001,4307590,81.81869306823934,84.16178842217606,82.99144068957352
2019,Oct,1926829,1660334,3587163,48346261,49193883,97540144,2179091,1103521,3282612,8915,8910,17825,8700,8695,17395,1973309,1702358,3675667,2237674,2238960,4476634,88.18572321079836,76.03342623360845,82.10782923062283
2019,Nov,1702426,1724008,3426434,49424631,52601488,102026119,2427776,1261622,3689398,8662,8659,17321,8448,8445,16893,1749818,1771532,3521350,2184412,2185269,4369681,80.10476045727637,81.06699907425585,80.58597412488463
2019,Dec,1846338,2192732,4039070,44660835,56671658,101332493,2756775,1556010,4312785,9654,9655,19309,9467,9467,18934,1896769,2243848,4140617,2484419,2487831,4972250,76.34658244040156,90.19294317017514,83.27451355020364
2020,Jan,2215508,1938543,4154051,38346436,46442042,84788478,2024258,1007280,3031538,9870,9863,19733,9683,9676,19359,2271199,1993998,4265197,2549922,2551725,5101647,89.06935192527457,78.14313846515593,83.60431444982376
2020,Feb,1529809,1275620,2805429,36699653,46071499,82771152,1685892,1091401,2777293,7860,7866,15726,7697,7703,15400,1581323,1327430,2908753,2005900,2010451,4016351,78.83359090682487,66.02647863588817,72.42277878601746
2020,Mar,887482,838247,1725729,40072842,40376699,80449541,1512726,886243,2398969,5914,5905,11819,5744,5736,11480,918428,870026,1788454,1461757,1467326,2929083,62.830415725732806,59.293299512173846,61.05849509897807
2020,Apr,17304,58002,75306,30667160,25300318,55967478,607922,228200,836122,1302,1289,2591,1256,1243,2499,17307,58005,75312,121071,124931,246002,14.294917858116312,46.429629155293725,30.614385248900415
2020,May,18749,34240,52989,35904110,29647893,65552003,902799,690625,1593424,1592,1556,3148,1534,1495,3029,18749,34240,52989,101772,99102,200874,18.422552371968713,34.55026134689512,26.37922279637982
2020,Jun,25244,39591,64835,34510567,30310539,64821106,1176670,665908,1842578,1511,1531,3042,1437,1457,2894,25244,39591,64835,123956,122336,246292,20.36529090967763,32.36250980905048,26.324444155717604
2020,Jul,20016,53835,73851,37264444,31066584,68331028,1086427,538143,1624570,1611,1593,3204,1532,1514,3046,20016,53835,73851,109521,155043,264564,18.275947078642453,34.722625336197055,27.914228693246244
2020,Aug,15549,56449,71998,41269200,32837203,74106403,1133168,474395,1607563,1769,1750,3519,1664,1645,3309,15549,56449,71998,124136,171103,295239,12.52577817877167,32.991239195104704,24.386344622492288
2020,Sep,15413,46707,62120,39374992,35539271,74914263,1187721,519478,1707199,1764,1739,3503,1652,1627,3279,15413,46707,62120,139942,186567,326509,11.013848594417688,25.034974030777146,19.025509250893542
2020,Oct,23559,45618,69177,41074958,37196422,78271380,1181642,646421,1828063,1920,1911,3831,1808,1799,3607,23559,45618,69177,159235,206961,366196,14.795114139479384,22.041833968718745,18.890703339195404
2020,Nov,26167,41044,67211,43329471,38137181,81466652,1377267,700527,2077794,2000,1983,3983,1878,1861,3739,26167,41044,67211,176642,220497,397139,14.8135777448172,18.614312212864576,16.92379746134225
